Set	Total
{amphenicol, phenicol}	5
{macrolide, tetracycline, multidrug}	1
{lincosamide/macrolide, ml}	2
{lincosamide, ml}	5
{glycopeptide, lipopeptide, polymyxin}	1
{mupirocin, pseudomonic acid}	3
{MLS, fluoroquinolone}	1
{glycopeptide, macrolide}	1
{macrolide/streptothricin, multidrug, nucleoside}	1
{ml, streptogramin a}	1
{lincosamide, streptogramin a, pleuromutilin, multidrug}	1
{MLS, lincosamide, streptogramin a, pleuromutilin, multidrug}	1
{multidrug, oxazolidinone/phenicol}	1
{amphenicol, oxazolidinone, tetracycline, multidrug, oxazolidinone/phenicol}	1
{drug_and_biocide_and_metal_resistance, multidrug}	7
{MLS, drug_and_biocide_and_metal_resistance, multidrug}	1
{drug_and_biocide_resistance, efflux}	19
{bicyclomycin-like, drug_and_biocide_resistance}	1
{antibacterial free fatty acid, drug_and_biocide_resistance}	1
{antibacterial free fatty acid, drug_and_biocide_resistance, efflux}	1
{drug_and_biocide_resistance, multidrug, phenicol/quinolone}	5
{drug_and_biocide_resistance, phenicol/quinolone}	36
{drug_and_biocide_resistance, na}	1
{beta-lactam, drug_and_biocide_resistance}	1
{colistin, drug_and_biocide_resistance}	1
{beta-lactam, nitrofuran}	2
{colistin, glycopeptide}	3
{na, rifamycin}	3
{multidrug, phenicol/quinolone}	1
{disinfecting agents and antiseptic, multidrug}	1
{colistin, glycopeptide, na, polymyxin}	1
{MLS, quinolone}	1
{intimin, not found}	3
{not found, stx2}	8
